PMID,ArticleType
25475116,Journal Article; Multicenter Study; Randomized Controlled Trial
32206464,Journal Article
1401313,Journal Article; Review
37878668,Journal Article
36253209,Journal Article
32987875,Journal Article
24373924,Journal Article
7453930,Journal Article
38420236,Journal Article
37443717,Clinical Trial; Journal Article
37551304,Journal Article; Review
39874197,Journal Article
38456192,Journal Article
37615850,Randomized Controlled Trial; Multicenter Study; Journal Article
28271171,Journal Article
28081634,Journal Article
33977033,Journal Article
16492283,Journal Article
36376482,Journal Article
25336110,Journal Article
16736091,Journal Article
34169121,Journal Article
36988149,Journal Article
40092270,Journal Article
317004,Journal Article
22606059,Journal Article
20207456,Journal Article
31650933,Journal Article
36540573,Journal Article
18932906,Journal Article
32918091,Journal Article
36242913,Journal Article; Review
39737503,Journal Article
23524598,Journal Article
35151830,Journal Article; Review
34445019,Journal Article
11001939,Journal Article
25786641,Journal Article
37285743,Journal Article
32904992,Journal Article
7712532,Journal Article
36157038,Journal Article
20154043,Journal Article
15067820,Journal Article
40140776,Journal Article
32353565,Journal Article
40471394,Journal Article
40549290,Journal Article
40860274,Journal Article
28643719,Journal Article
10205262,Journal Article
37476360,Journal Article
33763060,Journal Article; Review
26229881,Journal Article
22542924,Journal Article
23105912,Journal Article
17664775,Journal Article
40350637,Journal Article; Review
17847952,Journal Article
35910145,Journal Article
36050687,Journal Article
34465395,Journal Article
1647170,Journal Article
25713720,Journal Article
37007997,Journal Article; Review
36210465,Journal Article
31609457,Journal Article
24876668,Journal Article
35483421,Journal Article
27535253,Journal Article; Review
36465624,Journal Article
32404908,Journal Article
7676134,Journal Article; Review
6543841,Journal Article
34646240,Clinical Trial; Journal Article
34941093,Journal Article
33768674,Journal Article
31989660,Journal Article
36551682,Journal Article
35907797,Journal Article
28879639,Journal Article
36264042,Journal Article
16197918,Journal Article
8929077,Journal Article
36837181,Journal Article
27734648,Journal Article
31940801,Journal Article; Review
37964218,Journal Article
6503572,Journal Article
33193118,Journal Article
22213341,Journal Article
40460942,Journal Article
32870197,Journal Article
39664052,Journal Article
33179231,Journal Article
37786570,Journal Article
34069325,Journal Article
32502471,Journal Article
35835916,Journal Article
31948109,Journal Article; Review
38093476,Journal Article
37011869,Journal Article; Review
36327861,Journal Article
36892343,Journal Article
31970989,Journal Article
30316064,Journal Article
33748353,Journal Article
39952417,Journal Article; Review
28878548,Journal Article
36364349,Journal Article
36677908,Journal Article
28492150,Journal Article
35080654,Journal Article
36232942,Journal Article
33029096,Journal Article; Review
38590786,Journal Article
37706063,Journal Article
33335866,Journal Article; Review
40382406,Journal Article
25665838,Journal Article
33118050,Journal Article
32636594,Journal Article
36243399,Journal Article
31235217,Journal Article
20665660,Journal Article
17564710,Journal Article; Review
36295892,Journal Article
34437458,Journal Article
32050984,Journal Article
40916698,Journal Article
32314049,Journal Article
39362993,Journal Article
39842076,Journal Article
37016715,Journal Article; Review
21104647,Journal Article
36320520,Journal Article
26221390,Journal Article
39203858,Journal Article; Randomized Controlled Trial
38132825,Journal Article
33893098,Journal Article
11262988,Journal Article
37888054,Journal Article
25680927,Journal Article
35685462,Journal Article
28690378,Journal Article
36235975,Journal Article
37811011,Journal Article
35110678,Journal Article
34599806,Journal Article
32466960,Journal Article
19247659,Journal Article
39620070,Journal Article
34578995,Journal Article
32620198,Journal Article; Review
36357418,Journal Article
23704321,Journal Article
34714010,Journal Article
37442231,Journal Article; Review
36817589,Journal Article; Review
32107984,Journal Article
13770605,Journal Article
28192171,Journal Article
11349468,Journal Article
34344451,Letter
25860819,Journal Article; Review
13502394,Journal Article
34504318,Journal Article
32455750,Journal Article
33328986,Journal Article; Review
25804398,Journal Article
33365210,Journal Article
35964092,Journal Article; Review
35671204,Journal Article
2383921,Journal Article
24618234,Journal Article
34361791,Journal Article
32284865,Journal Article
22127706,Journal Article
32968167,Journal Article
31578365,Journal Article
36985595,Journal Article
15365968,Journal Article
33624332,Journal Article
31496470,Journal Article
31503358,Journal Article
32962123,Journal Article; Review
36237614,Journal Article
34435360,Journal Article
40108485,Journal Article; Meta-Analysis
33910624,Journal Article
39351877,Journal Article
20301627,Review
37402061,Journal Article
12051967,Journal Article; Review
35652597,Journal Article; Review
29629736,Journal Article
40627550,Journal Article
25940034,Journal Article
28329776,Journal Article
7753441,Journal Article
35495079,Journal Article
22850426,Journal Article
36295804,Journal Article; Review
37126604,Journal Article
19306858,Journal Article
35891968,Journal Article
20601653,Journal Article
38256395,Journal Article
34330083,Journal Article
39347187,Journal Article; Review
37446173,Journal Article; Randomized Controlled Trial
40346789,Journal Article
33670179,Journal Article
30054539,Journal Article
23368689,Journal Article
37551372,Journal Article
36090030,Journal Article; Review
34813075,Journal Article
27169295,Journal Article
24952314,Journal Article
34485014,Journal Article
33447953,Journal Article; Review
21108660,Journal Article
9674916,Journal Article
36118553,Journal Article
39869270,Journal Article
34313900,Journal Article; Review
21620748,Journal Article; Randomized Controlled Trial
37937039,Journal Article
35563144,Journal Article; Review
23353776,Journal Article
33606379,Journal Article
39605880,Journal Article
21308630,Journal Article
34194920,Journal Article
33883897,Journal Article
18945288,Journal Article
38217756,Journal Article
31900332,Journal Article
31526356,Journal Article
38761596,Journal Article
37970050,Journal Article
22482092,Journal Article; Review
10518553,Journal Article
25874097,Journal Article
35562974,Journal Article
32745686,Journal Article; Review
33000155,Journal Article; Review
35757266,Journal Article
37349331,Journal Article
36247425,Journal Article
10340975,Journal Article
33621656,Journal Article
39769171,Journal Article
36779093,Journal Article
32555112,Journal Article
31955564,Journal Article
35629927,Journal Article
34589745,Journal Article
22105303,Journal Article
36295829,Journal Article
34170389,Journal Article; Randomized Controlled Trial
32059525,Journal Article
38443233,Journal Article
10465119,Letter
33541951,Journal Article
34059444,Journal Article
32784501,Journal Article
33999854,Journal Article; Review
34799606,Journal Article
33173139,Journal Article
39833049,Journal Article; Review
38337210,Journal Article
33427541,Journal Article
36553446,Journal Article
31332451,Journal Article
9670391,Journal Article; Review
37050787,Journal Article
12542920,Journal Article
34200415,Journal Article
23430897,Journal Article
32786295,Journal Article
37065429,Journal Article; Review
34356580,Journal Article
37727313,Journal Article
35028270,Journal Article
8782815,Journal Article
37700983,Journal Article
1813514,Journal Article
7803923,Journal Article
35495922,Journal Article
23105706,Journal Article
405402,Journal Article
36874893,Journal Article
37384105,Journal Article
32670031,Journal Article
38641826,Journal Article
39544857,Journal Article
36295821,Journal Article
22042873,Journal Article
33092023,Journal Article; Review
34783104,Journal Article
36314066,Journal Article
31019628,Journal Article
20952450,Journal Article
26884684,Journal Article
26891864,Journal Article; Review
31613396,Journal Article
32258251,Journal Article
10456213,Journal Article
39085719,Journal Article
33321862,Journal Article
33982033,Journal Article
40138457,Journal Article
35181574,Journal Article; Review
2686878,Journal Article; Review
33784004,Journal Article
10819641,Letter
40248566,Journal Article
33672879,Journal Article
30451653,Journal Article; Review
32961738,Journal Article
31022456,Journal Article
35588258,Review; Journal Article
33314212,Journal Article
27943071,Journal Article
36005122,Journal Article
39846949,Journal Article
24772955,Journal Article; Review
37106898,Journal Article
38487310,Journal Article
35027825,Journal Article
40721319,Journal Article
39535599,Journal Article
32549999,Journal Article; Review
34126587,Journal Article
36129726,Journal Article
32197413,Journal Article
39707148,Journal Article
40646346,Journal Article
34277784,Journal Article
33343660,Journal Article
13913597,Journal Article
1495952,Journal Article; Review
34753231,Journal Article
37279356,Journal Article
31392115,Journal Article
29461623,Journal Article
32322505,Journal Article
33708713,Journal Article
35682738,Journal Article
39464211,Journal Article
31874312,Journal Article
37000195,Journal Article
35822087,Journal Article
16304331,Journal Article
37878746,Journal Article
34445153,Journal Article
39762044,Journal Article
29852277,Journal Article
33666743,Journal Article; Review
15727283,Journal Article; Review
29654544,Journal Article
33572963,Journal Article
27207988,Journal Article
30263914,Journal Article
38054350,Journal Article
32642830,Journal Article; Review
30406834,Journal Article
39231619,Journal Article; Review
38422035,Journal Article
14972326,Journal Article
34497536,Journal Article
32395409,Journal Article
31441856,Journal Article
34899923,Journal Article
36329260,Journal Article; Review
39399636,Journal Article
36761691,Journal Article
33768117,Journal Article; Review
37790858,Journal Article
34405923,Journal Article
20145243,Journal Article
39986139,Journal Article; Review
39397239,Journal Article
35152492,Journal Article
32219972,Journal Article
36713826,Journal Article
37314044,Journal Article
19096913,Journal Article
36985629,Journal Article
40784658,Journal Article
10504183,Journal Article
34715699,Journal Article
32870946,Journal Article
12872815,Journal Article
34707860,Journal Article
36555443,Journal Article
31228435,Journal Article
33746036,Journal Article
20694448,Journal Article
33093763,Journal Article
3333140,Journal Article; Review
34556709,Journal Article
2073665,Journal Article; Review
38856882,Journal Article
300896,Journal Article
35675210,Journal Article; Review
37951511,Journal Article
3731474,Journal Article
35822094,Journal Article
10083729,Journal Article
5938449,Journal Article
35690902,Journal Article
32273702,Journal Article
36717,Journal Article; Review
22971313,Journal Article
33177812,Journal Article
33655752,Journal Article
40730701,Journal Article
37987167,Journal Article; Review
33379176,Journal Article; Review
33148763,Journal Article
33896191,Clinical Trial; Journal Article; Multicenter Study
24452981,Journal Article
35482661,Journal Article; Review
24647979,Journal Article; Review
36270742,Randomized Controlled Trial; Journal Article
40343203,Journal Article; Review
37685134,Journal Article; Review
40251523,Journal Article; Review
19862842,Journal Article
34206485,Journal Article; Review
37869924,Journal Article
40943549,Journal Article; Review
34066709,Journal Article; Review
32348369,Journal Article
15931360,Journal Article; Review
32995114,Journal Article
34279861,Journal Article
25567001,Journal Article
10925743,Journal Article; Review
35411276,Journal Article
34977384,Journal Article
37970436,Journal Article
38044616,Journal Article
37058812,Journal Article
33651519,Journal Article
3789644,Journal Article
35323671,Journal Article; Review
26798717,Journal Article
32952553,Journal Article
22100375,Journal Article
33228748,Journal Article
27817975,Journal Article
33844079,Journal Article
28813744,Journal Article
33538294,Journal Article
34404820,Journal Article
37909614,Journal Article
32883157,Journal Article
34141690,Journal Article; Review
36407115,Journal Article; Review
36299453,Journal Article
32098281,Journal Article; Review
36421484,Journal Article; Review
15322814,Journal Article; Review
33007830,Journal Article
22196391,Journal Article
20062791,Journal Article
35393684,Journal Article; Review
25130113,Journal Article
40645714,Journal Article
32701109,Journal Article
36818045,Journal Article; Review
39730168,Journal Article
36638857,Editorial
36877482,Journal Article
33452825,Journal Article
32708540,Journal Article
32256365,Journal Article
26474772,Journal Article
35444851,Journal Article
35521288,Journal Article
32822600,Journal Article; Multicenter Study; Randomized Controlled Trial
24781848,Journal Article
32158253,Journal Article; Review
18772817,Journal Article
34884726,Journal Article
35836679,Journal Article
38161945,Journal Article
37762213,Journal Article
33142698,Editorial
33764986,Journal Article
37936718,Journal Article
36966367,Journal Article
25681086,Journal Article
28128559,Journal Article; Review
39273071,Journal Article
24206226,Journal Article; Review
33161846,Journal Article
37475865,Journal Article; Review
38825475,Journal Article; Review
33808152,Journal Article
36225670,Journal Article
21437689,Journal Article
35242577,Journal Article
26093627,Journal Article
32411461,Journal Article; Review
34703915,Journal Article
40430165,Journal Article
23632174,Journal Article
15529343,Journal Article
30093780,Journal Article
35523775,Journal Article; Review
33324057,Journal Article; Review
26596578,Journal Article; Review
27082169,Journal Article; Review
32411775,Journal Article
36684325,Journal Article
12501223,Journal Article
16078090,Journal Article; Review
6524111,Journal Article
35944460,Journal Article
36335620,Journal Article
34010589,Journal Article
40230540,Journal Article
32729968,Journal Article
36421695,Journal Article
35785357,Journal Article
24783127,Journal Article
35415103,Journal Article
34638464,Journal Article
266609,Journal Article
26947423,Journal Article
38962316,Journal Article
37521546,Journal Article
37265451,Journal Article
34834538,Journal Article; Review
40162283,Journal Article
40051499,Journal Article; Review
16476288,Journal Article
30229904,Journal Article
36880186,Review; Journal Article
32922597,Journal Article
2914385,Journal Article
37395296,Journal Article
25873809,Journal Article
34984283,Journal Article
35917590,Journal Article
10482952,Journal Article
32640551,Journal Article; Review
28326376,Journal Article
33354644,Journal Article
37175552,Journal Article
10970188,Letter
20648626,Journal Article
470786,Journal Article
39121793,Journal Article; Randomized Controlled Trial
38005192,Journal Article
37354891,Journal Article
36999718,Journal Article
9244427,Journal Article
7840434,Letter
38448969,Journal Article; Review
40001497,Journal Article
34768961,Journal Article
36543753,Journal Article
33668211,Journal Article
32212000,Journal Article
35090868,Journal Article
39430194,Journal Article; Review
37183361,Journal Article; Review
36099296,Journal Article
39456067,Journal Article
37378240,Journal Article
33653381,Journal Article
19300282,Journal Article
38454048,Journal Article; Review
31219884,Journal Article
40375095,Journal Article
9069115,Journal Article
36215670,Journal Article
25628464,Journal Article
33475951,Journal Article
40041150,Journal Article
34209648,Journal Article
36709142,Journal Article
34573906,Journal Article
36053307,Journal Article; Review
35495253,Journal Article
11958438,Journal Article; Review
33777319,Journal Article
34922579,Journal Article
39012429,Journal Article
40938761,Journal Article
8571731,Journal Article; Review
37209936,Journal Article
39628365,Journal Article
36127589,Journal Article
6523395,Journal Article
32368418,Journal Article
37581156,Journal Article; Review
33282615,Journal Article
35586479,Journal Article
35618640,Journal Article
8767836,Journal Article
37547691,Journal Article
34887979,Journal Article
33003543,Journal Article; Review
32290475,Journal Article; Meta-Analysis; Review
7821069,Journal Article
33450959,Journal Article
32646367,Journal Article
16901704,Journal Article
33806772,Journal Article; Review
36361911,Journal Article
35547164,Journal Article
2758664,Comment; Letter
23486607,Journal Article; Review
40223377,Journal Article; Review
36005644,Journal Article
31462106,Journal Article
37325369,Journal Article
26396096,Journal Article; Review
16788736,Journal Article
32499759,Journal Article; Review
30782595,Journal Article
37246686,Journal Article
35685892,Journal Article
20055850,Journal Article
38846518,Journal Article
10884219,Journal Article
24997710,Journal Article
35797333,Journal Article
38509968,Journal Article
32887293,Journal Article; Review
39717259,Journal Article
40243989,Journal Article
32202644,Journal Article
20138792,Journal Article
34883648,Journal Article
37025736,Journal Article
26024586,Journal Article
28019670,Journal Article
33249000,Journal Article
25762405,Journal Article
39836193,Journal Article
25266991,Journal Article; Review
36054074,Review; Journal Article
25184921,Journal Article
34925459,Journal Article; Review
36089583,Journal Article
33970541,Journal Article
35822095,Journal Article
32192929,Journal Article
33904662,Journal Article
39957927,Journal Article
37764806,Journal Article; Review
19765774,Journal Article
38462334,Journal Article
26844634,Journal Article; Review
33460909,Journal Article
37989876,Journal Article
34686677,Journal Article
39888669,Journal Article; Review
34486734,Journal Article
35671127,Journal Article
40071956,Journal Article; Review
34389111,Journal Article; Review
40745331,Journal Article
34736252,Journal Article; Review
32423010,Journal Article
34208683,Journal Article; Review
40648787,Journal Article
32577465,Journal Article
34082789,Journal Article
26620992,Journal Article
35787527,Journal Article
9056215,Journal Article
32305737,Journal Article
39440511,Journal Article; Review
23315787,Journal Article; Review
35563281,Journal Article; Review
34641489,Journal Article
36329523,Journal Article
33133725,Journal Article; Review
30343446,Journal Article
40124679,Journal Article
34235214,Journal Article
34277234,Journal Article; Review
34141487,Journal Article
40738018,Journal Article
37455973,Journal Article
23357094,Journal Article
6885427,Journal Article
34039357,Journal Article; Review
39604554,Journal Article
13281949,Journal Article
26677264,Journal Article; Review
37285631,Journal Article; Review
5472968,Journal Article
33920631,Journal Article
39290064,Journal Article
25733348,Journal Article; Review
36167967,Journal Article
34254829,Journal Article
36568392,Journal Article
39599584,Journal Article
33442680,Journal Article
33013314,Journal Article; Review
39548649,Journal Article
35163121,Journal Article
25772318,Journal Article
37060536,Journal Article
32478759,Journal Article
39598108,Journal Article
15849984,Journal Article
35531388,Journal Article
38586159,Journal Article
31600782,Journal Article
27037242,Journal Article
34432558,Journal Article
38760200,Journal Article; Review
36293368,Journal Article
25978274,Journal Article; Review
17213354,Journal Article
28158906,Journal Article
29039164,Journal Article
36471409,Journal Article; Review
20229718,Journal Article; Review
1943688,Journal Article; Review
21415764,Journal Article
39669016,Journal Article
35457034,Journal Article
35550814,Journal Article
21254745,Journal Article
36557485,Journal Article
33469937,Journal Article
39312502,Journal Article
8188241,Journal Article
36671007,Journal Article; Review
35115930,Journal Article
27142149,Journal Article
19180686,Journal Article
27816602,Journal Article
29933333,Journal Article; Review
7568087,Journal Article
40123689,Journal Article
23619548,Journal Article; Review
35842631,Journal Article
23430917,Journal Article
10771134,Journal Article; Review
19014543,Journal Article
28942493,Journal Article
38542812,Journal Article
9870204,Journal Article
33372860,Journal Article
5559277,Journal Article
39258552,Journal Article
1209606,Journal Article
35487686,Journal Article; Review
27200402,Journal Article
29754208,Journal Article
31927521,Journal Article
22732185,Journal Article
36150210,Journal Article; Review
37069873,Journal Article
35812756,Journal Article
27784639,Journal Article
37240822,Journal Article
40196635,Journal Article
36604758,Journal Article
35528186,Journal Article
38487984,Journal Article
38003617,Journal Article
40059138,Journal Article; Multicenter Study
8188247,Journal Article
35433173,Journal Article
32812127,Journal Article
36583204,Journal Article
25233259,Journal Article
39720253,Journal Article; Review
37143563,Journal Article
28028161,Journal Article
35566721,Journal Article; Review
35584109,Journal Article
35184721,Journal Article
36527127,Journal Article
25153563,Journal Article
38894729,Journal Article
32872068,Journal Article; Review
10876237,Journal Article
17044384,Journal Article
26793547,Journal Article
21744089,Journal Article
33728247,Journal Article
40328458,Journal Article; Published Erratum
37765213,Journal Article
32083330,Journal Article
27414279,Journal Article
40189192,Journal Article
27466876,Journal Article
39829311,Journal Article
5376903,Journal Article
3810644,Journal Article
36787440,Journal Article
19085367,Journal Article; Review
35680516,Journal Article
33344320,Journal Article
31175484,Journal Article
33806862,Journal Article
37563694,Journal Article; Review
7641516,Journal Article
37877521,Journal Article
35907593,Journal Article; Review
36557136,Journal Article
36804395,Journal Article
16311673,Journal Article
39670100,Journal Article
35430469,Journal Article
33057760,Journal Article
40491422,Journal Article
34562255,Journal Article
36273949,Journal Article
34731780,Journal Article
36411535,Journal Article
34925649,Journal Article
8071207,Journal Article
9529363,Journal Article
36608845,Journal Article
37010051,Journal Article
10094559,Journal Article
15931605,Journal Article
21874298,Journal Article
24459540,Journal Article
40593739,Journal Article
35571382,Journal Article; Review
38543420,Journal Article
34307952,Journal Article
32395411,Journal Article
10488288,Journal Article
35071497,Journal Article
35391823,Journal Article
8368023,Journal Article; Review
32679806,Journal Article; Review
14957597,Journal Article
40370909,Journal Article
37969329,Journal Article
18724531,Journal Article
39816224,Journal Article
40123942,Journal Article
39991193,Journal Article; Review
36661349,Journal Article
21127875,Journal Article
36123716,Journal Article
22871666,Journal Article
35611280,Journal Article
30412682,Journal Article
36144051,Journal Article
33920006,Journal Article
35127215,Journal Article
34047983,Journal Article
37108128,Journal Article
22919147,Journal Article
35995009,Journal Article
29353057,Journal Article
24478561,Journal Article
37958559,Journal Article
39801864,Journal Article
27454006,Journal Article
32908119,Journal Article
30055994,Journal Article
7673153,Journal Article
31274704,Journal Article
31282009,Journal Article; Review
36737029,Journal Article
32365752,Journal Article
33425955,Journal Article
3121448,Journal Article
38405194,Journal Article
25868666,Journal Article; Review
39735452,Journal Article
33785053,Journal Article
33000720,Journal Article
13162835,Journal Article
38161509,Journal Article; Review
34381863,Journal Article
32284043,Journal Article
29113706,Journal Article
24060716,Journal Article
30477028,Journal Article
27590860,Journal Article
23858455,Journal Article
38740881,Journal Article
33499165,Journal Article
36405701,Journal Article
31296884,Journal Article; Randomized Controlled Trial
2835867,Journal Article
35028273,Journal Article
32183192,Journal Article
36188196,Journal Article; Review
30684868,Journal Article
401217,Journal Article
21822197,Journal Article
34184084,Journal Article; Review
27074788,Journal Article
33456379,Journal Article
9734339,Journal Article
37741986,Journal Article
36552628,Journal Article; Review
24575791,Journal Article
33856570,Journal Article; Randomized Controlled Trial
31037385,Journal Article
33073027,Journal Article; Review
39839810,Journal Article
25597736,Journal Article
2188121,Journal Article
34765391,Journal Article
32188979,Journal Article
37188915,Journal Article
36365055,Journal Article
32929338,Journal Article
32530053,Journal Article
37404676,Journal Article
29997987,Journal Article
24191883,Journal Article
40506607,Journal Article; Review
39548712,Journal Article; Review
35242570,Journal Article
3180550,Journal Article
36836344,Journal Article
35334175,Journal Article; Review
21748407,Journal Article
32920436,Journal Article
39925566,Journal Article
39789296,Journal Article; Review
33429414,Journal Article
33777312,Journal Article
31734977,Journal Article
29147990,Journal Article
32980593,Journal Article
10085494,Journal Article
18949907,Journal Article
30049652,Journal Article
33248561,Journal Article
12522896,Journal Article
12359141,Journal Article
39906206,Journal Article
37050407,Journal Article
36232315,Journal Article
12114497,Journal Article
32508116,Journal Article
37180703,Journal Article
33797277,Journal Article; Practice Guideline
39560664,Journal Article
34361714,Journal Article
24223251,Journal Article
9154114,Journal Article
35736410,Journal Article
40157162,Journal Article; Meta-Analysis
33514801,Clinical Trial; Journal Article
32590792,Journal Article
38429320,Journal Article
38571309,Journal Article
37655078,Journal Article
32660079,Journal Article
33519376,Journal Article
37155857,Journal Article
3734183,Journal Article
19381613,Journal Article; Review
36429096,Journal Article
38162369,Journal Article
40609327,Journal Article
35954291,Journal Article
40838972,Editorial; Comment
27865997,Journal Article
35481649,Journal Article
36340174,Journal Article
16085442,Journal Article
32875021,Journal Article
23511227,Journal Article
34926730,Journal Article
34112359,Journal Article
38334651,Journal Article
32823072,Journal Article
34562248,Journal Article
33102580,Journal Article; Meta-Analysis; Review
37288202,Journal Article
35441025,Journal Article
37658095,Journal Article
36091799,Journal Article; Review
11327815,Journal Article
33336003,Journal Article; Review
37013237,Journal Article
32967132,Clinical Trial; Journal Article; Multicenter Study
31948642,Editorial; Comment
33637048,Journal Article; Randomized Controlled Trial
39435171,Journal Article
38453957,Journal Article; Review
38974614,Journal Article
32974116,Journal Article
34069937,Journal Article
34446457,Journal Article; Review
18336562,Journal Article; Review
39625546,Journal Article; Review
36904710,Journal Article
27298997,Journal Article
35637840,Journal Article
39397107,Journal Article
33941395,Journal Article
6719145,Journal Article
36979212,Journal Article
30829862,Journal Article
24466168,Journal Article
36948655,Journal Article
32047573,Journal Article; Review
32974306,Journal Article
39548902,Journal Article
35659777,Journal Article
35045659,Journal Article
35493307,Journal Article
17899002,Journal Article
25003018,Journal Article; Review
10985185,Journal Article
37751979,Journal Article
38904030,Journal Article
19671401,Journal Article
9214216,Journal Article
23085206,Journal Article
35457108,Journal Article
34968734,Journal Article
36980965,Journal Article
36496997,Journal Article
35853837,Journal Article; Review
36828364,Journal Article
10494297,Journal Article
12705346,Journal Article
36555541,Journal Article
37577625,Journal Article
36045846,Journal Article
21876398,Journal Article; Review
35481344,Journal Article
32970271,Journal Article; Review
3375493,Journal Article
38594734,Journal Article
38996180,Journal Article
12872836,Clinical Trial; Journal Article
35419951,Journal Article
35275964,Journal Article
38106257,Journal Article
10594001,Journal Article
21163157,Journal Article
36329490,Journal Article
20462779,Journal Article
23879342,Journal Article; Review
30737480,Clinical Trial; Journal Article
27660165,Journal Article
32575625,Journal Article
21813063,Journal Article
28869836,Journal Article
38046767,Journal Article; Review
32610558,Journal Article
33668588,Journal Article; Review
30341892,Journal Article
20726204,Journal Article
28217270,Journal Article
36465977,Journal Article; Review
36330454,Journal Article; Review
37268334,Review; Journal Article
2771520,Journal Article
34430132,Journal Article; Review
25182962,Journal Article
25302636,Journal Article
40890013,Editorial
34940418,Journal Article; Review
26960557,Journal Article
34681816,Journal Article; Review
35658356,Journal Article
